tp,fp,fn,macro_precision,recall,f1,uri
0,4,1,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-27#char=0,279"
2,9,3,0.18181818181818182,0.4,0.25000000000000006,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-30#char=0,320"
4,2,0,0.6666666666666666,1.0,0.8,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-59#char=0,80"
7,3,0,0.7,1.0,0.8235294117647058,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-38#char=0,480"
3,9,1,0.25,0.75,0.375,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-37#char=0,248"
3,8,0,0.2727272727272727,1.0,0.42857142857142855,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-9#char=0,530"
1,2,0,0.3333333333333333,1.0,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-48#char=0,172"
0,8,0,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-25#char=0,341"
4,3,0,0.5714285714285714,1.0,0.7272727272727273,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-46#char=0,321"
5,4,0,0.5555555555555556,1.0,0.7142857142857143,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-7#char=0,362"
3,12,0,0.2,1.0,0.33333333333333337,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-35#char=0,373"
5,6,2,0.45454545454545453,0.7142857142857143,0.5555555555555556,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-5#char=0,455"
6,7,2,0.46153846153846156,0.75,0.5714285714285714,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-4#char=0,517"
7,10,0,0.4117647058823529,1.0,0.5833333333333334,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-29#char=0,433"
5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666667,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-43#char=0,401"
1,4,0,0.2,1.0,0.33333333333333337,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-49#char=0,253"
2,4,0,0.3333333333333333,1.0,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-53#char=0,331"
10,3,0,0.7692307692307693,1.0,0.8695652173913044,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-51#char=0,470"
5,5,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-50#char=0,340"
2,4,0,0.3333333333333333,1.0,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-58#char=0,188"
4,3,0,0.5714285714285714,1.0,0.7272727272727273,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-41#char=0,238"
6,11,0,0.35294117647058826,1.0,0.5217391304347826,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-52#char=0,874"
2,5,1,0.2857142857142857,0.6666666666666666,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-39#char=0,284"
1,11,0,0.08333333333333333,1.0,0.15384615384615385,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-16#char=0,433"
5,2,0,0.7142857142857143,1.0,0.8333333333333333,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-42#char=0,366"
4,5,0,0.4444444444444444,1.0,0.6153846153846153,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-22#char=0,288"
1,4,1,0.2,0.5,0.28571428571428575,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-18#char=0,240"
5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666667,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-32#char=0,340"
11,6,0,0.6470588235294118,1.0,0.7857142857142858,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-56#char=0,636"
8,10,0,0.4444444444444444,1.0,0.6153846153846153,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-10#char=0,715"
2,2,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-40#char=0,197"
1,3,0,0.25,1.0,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-55#char=0,240"
5,3,0,0.625,1.0,0.7692307692307693,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-11#char=0,481"
5,2,0,0.7142857142857143,1.0,0.8333333333333333,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-15#char=0,234"
2,5,1,0.2857142857142857,0.6666666666666666,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-17#char=0,334"
0,11,1,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-23#char=0,349"
0,1,0,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-47#char=0,273"
3,9,0,0.25,1.0,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-6#char=0,452"
4,3,0,0.5714285714285714,1.0,0.7272727272727273,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-44#char=0,223"
6,14,0,0.3,1.0,0.4615384615384615,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-1#char=0,461"
3,3,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-20#char=0,529"
3,7,1,0.3,0.75,0.4285714285714285,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-45#char=0,485"
1,10,0,0.09090909090909091,1.0,0.16666666666666669,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-33#char=0,537"
7,14,2,0.3333333333333333,0.7777777777777778,0.4666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-57#char=0,541"
2,6,1,0.25,0.6666666666666666,0.36363636363636365,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-34#char=0,454"
0,17,0,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-31#char=0,435"
1,9,0,0.1,1.0,0.18181818181818182,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-36#char=0,488"
5,5,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-8#char=0,548"
3,1,0,0.75,1.0,0.8571428571428571,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-2#char=0,366"
1,8,0,0.1111111111111111,1.0,0.19999999999999998,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-19#char=0,572"
3,6,0,0.3333333333333333,1.0,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-13#char=0,545"
1,9,0,0.1,1.0,0.18181818181818182,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-21#char=0,319"
5,10,1,0.3333333333333333,0.8333333333333334,0.47619047619047616,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-3#char=0,553"
3,9,1,0.25,0.75,0.375,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-24#char=0,335"
5,18,2,0.21739130434782608,0.7142857142857143,0.3333333333333333,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-28#char=0,472"
5,18,0,0.21739130434782608,1.0,0.3571428571428571,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-12#char=0,625"
4,3,0,0.5714285714285714,1.0,0.7272727272727273,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-14#char=0,315"
1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-26#char=0,451"
2,5,1,0.2857142857142857,0.6666666666666666,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-0#char=0,413"
3,12,1,0.2,0.75,0.31578947368421056,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-54#char=0,523"
