tp,fp,fn,macro_precision,recall,f1,uri
3,0,3,1.0,0.5,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-31#char=0,435"
1,6,0,0.14285714285714285,1.0,0.25,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-36#char=0,488"
4,2,1,0.6666666666666666,0.8,0.7272727272727272,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-8#char=0,548"
2,0,1,1.0,0.6666666666666666,0.8,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-2#char=0,366"
1,4,0,0.2,1.0,0.33333333333333337,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-19#char=0,572"
3,2,0,0.6,1.0,0.7499999999999999,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-13#char=0,545"
1,5,0,0.16666666666666666,1.0,0.2857142857142857,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-21#char=0,319"
3,3,5,0.5,0.375,0.42857142857142855,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-3#char=0,553"
1,6,2,0.14285714285714285,0.3333333333333333,0.2,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-24#char=0,335"
4,3,6,0.5714285714285714,0.4,0.47058823529411764,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-28#char=0,472"
5,7,0,0.4166666666666667,1.0,0.5882352941176471,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-12#char=0,625"
3,2,1,0.6,0.75,0.6666666666666665,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-14#char=0,315"
1,2,3,0.3333333333333333,0.25,0.28571428571428575,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-26#char=0,451"
2,3,1,0.4,0.6666666666666666,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-0#char=0,413"
5,5,1,0.5,0.8333333333333334,0.625,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-54#char=0,523"
