tp,fp,fn,precision,recall,f1,uri
5,6,3,0.45454545454545453,0.625,0.5263157894736842,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-3#char=0,409"
7,3,4,0.7,0.6363636363636364,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-0#char=0,673"
2,4,3,0.3333333333333333,0.4,0.3636363636363636,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-22#char=0,288"
11,1,2,0.9166666666666666,0.8461538461538461,0.8799999999999999,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-47#char=0,470"
13,3,3,0.8125,0.8125,0.8125,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-9#char=0,481"
1,0,2,1.0,0.3333333333333333,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-43#char=0,273"
5,7,2,0.4166666666666667,0.7142857142857143,0.5263157894736842,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-33#char=0,537"
4,10,2,0.2857142857142857,0.6666666666666666,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-8#char=0,485"
7,12,5,0.3684210526315789,0.5833333333333334,0.4516129032258065,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-28#char=0,472"
3,4,0,0.42857142857142855,1.0,0.6,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-49#char=0,331"
6,5,3,0.5454545454545454,0.6666666666666666,0.6,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-12#char=0,402"
6,2,5,0.75,0.5454545454545454,0.631578947368421,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-1#char=0,393"
2,3,1,0.4,0.6666666666666666,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-20#char=0,529"
2,5,2,0.2857142857142857,0.5,0.36363636363636365,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-18#char=0,240"
6,9,6,0.4,0.5,0.4444444444444445,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-50#char=0,523"
7,2,1,0.7777777777777778,0.875,0.823529411764706,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-14#char=0,544"
6,2,0,0.75,1.0,0.8571428571428571,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-55#char=0,80"
4,3,5,0.5714285714285714,0.4444444444444444,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-6#char=0,460"
6,2,3,0.75,0.6666666666666666,0.7058823529411765,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-10#char=0,332"
5,2,1,0.7142857142857143,0.8333333333333334,0.7692307692307692,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-38#char=0,366"
6,2,0,0.75,1.0,0.8571428571428571,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-15#char=0,234"
3,5,3,0.375,0.5,0.42857142857142855,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-21#char=0,319"
10,10,5,0.5,0.6666666666666666,0.5714285714285715,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-53#char=0,541"
1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-27#char=0,279"
5,6,1,0.45454545454545453,0.8333333333333334,0.5882352941176471,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-16#char=0,433"
3,3,2,0.5,0.6,0.5454545454545454,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-17#char=0,334"
0,3,1,0.0,0.0,0.0,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-51#char=0,240"
4,5,1,0.4444444444444444,0.8,0.5714285714285714,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-40#char=0,223"
4,4,1,0.5,0.8,0.6153846153846154,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-42#char=0,321"
9,5,7,0.6428571428571429,0.5625,0.6000000000000001,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-48#char=0,874"
5,1,4,0.8333333333333334,0.5555555555555556,0.6666666666666667,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-11#char=0,351"
2,2,2,0.5,0.5,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-54#char=0,188"
5,10,0,0.3333333333333333,1.0,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-35#char=0,373"
2,6,1,0.25,0.6666666666666666,0.36363636363636365,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-25#char=0,341"
3,5,3,0.375,0.5,0.42857142857142855,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-36#char=0,488"
8,4,2,0.6666666666666666,0.8,0.7272727272727272,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-37#char=0,248"
