tp,fp,fn,precision,recall,f1,uri
3,2,2,0.6,0.6,0.6,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-22#char=0,288"
3,0,2,1.0,0.6,0.7499999999999999,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-44#char=0,223"
1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-58#char=0,188"
4,1,1,0.8,0.8,0.8000000000000002,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-11#char=0,481"
4,4,6,0.5,0.4,0.4444444444444445,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-12#char=0,625"
2,2,0,0.5,1.0,0.6666666666666666,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-48#char=0,172"
1,1,9,0.5,0.1,0.16666666666666669,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-45#char=0,485"
4,4,7,0.5,0.36363636363636365,0.4210526315789474,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-1#char=0,461"
2,1,3,0.6666666666666666,0.4,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-34#char=0,454"
2,1,8,0.6666666666666666,0.2,0.30769230769230765,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-54#char=0,523"
6,7,5,0.46153846153846156,0.5454545454545454,0.4999999999999999,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-57#char=0,541"
6,1,8,0.8571428571428571,0.42857142857142855,0.5714285714285714,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-56#char=0,636"
6,4,4,0.6,0.6,0.6,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-29#char=0,433"
4,1,1,0.8,0.8,0.8000000000000002,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-15#char=0,234"
2,1,2,0.6666666666666666,0.5,0.5714285714285715,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-19#char=0,572"
3,3,7,0.5,0.3,0.37499999999999994,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-30#char=0,320"
3,2,6,0.6,0.3333333333333333,0.42857142857142855,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-1/sentence-5#char=0,455"
