tp,fp,fn,macro_precision,recall,f1,uri
4,3,0,0.5714285714285714,1.0,0.7272727272727273,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-42#char=0,321"
3,7,2,0.3,0.6,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-41#char=0,485"
3,2,1,0.6,0.75,0.6666666666666665,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-2#char=0,408"
1,9,0,0.1,1.0,0.18181818181818182,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-21#char=0,319"
1,9,0,0.1,1.0,0.18181818181818182,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-36#char=0,488"
4,5,0,0.4444444444444444,1.0,0.6153846153846153,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-22#char=0,288"
3,9,0,0.25,1.0,0.4,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-16#char=0,433"
5,7,1,0.4166666666666667,0.8333333333333334,0.5555555555555556,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-37#char=0,248"
3,12,2,0.2,0.6,0.3,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-50#char=0,523"
5,8,2,0.38461538461538464,0.7142857142857143,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-3#char=0,409"
2,4,0,0.3333333333333333,1.0,0.5,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-49#char=0,331"
6,11,0,0.35294117647058826,1.0,0.5217391304347826,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-48#char=0,874"
5,4,1,0.5555555555555556,0.8333333333333334,0.6666666666666667,"http://www.ontologydesignpatterns.org/data/oke-challenge-2017/task-2/sentence-39#char=0,401"
